episode_id,run_id,policy_id,seed,scenario,valid_cells,valid_shots,invalid_attempts,hit_segments,won,truncated,auc_discovery,first_hit_shot,first_sunk_shot
initial-baselines-battleship-hunt_target-v1-seed-1001-episode-000,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1001,battleship,100,39,0,17,True,False,0.8094117647058824,3,11
initial-baselines-battleship-hunt_target-v1-seed-1001-episode-001,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1001,battleship,100,39,0,17,True,False,0.7758823529411765,4,13
initial-baselines-battleship-hunt_target-v1-seed-1001-episode-002,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1001,battleship,100,58,0,17,True,False,0.7135294117647059,10,17
initial-baselines-battleship-hunt_target-v1-seed-1001-episode-003,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1001,battleship,100,41,0,17,True,False,0.7652941176470588,6,9
initial-baselines-battleship-hunt_target-v1-seed-1001-episode-004,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1001,battleship,100,77,0,17,True,False,0.6658823529411765,10,13
initial-baselines-battleship-hunt_target-v1-seed-1002-episode-000,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1002,battleship,100,78,0,17,True,False,0.7211764705882353,4,13
initial-baselines-battleship-hunt_target-v1-seed-1002-episode-001,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1002,battleship,100,64,0,17,True,False,0.7470588235294118,1,7
initial-baselines-battleship-hunt_target-v1-seed-1002-episode-002,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1002,battleship,100,75,0,17,True,False,0.678235294117647,4,6
initial-baselines-battleship-hunt_target-v1-seed-1002-episode-003,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1002,battleship,100,52,0,17,True,False,0.78,1,7
initial-baselines-battleship-hunt_target-v1-seed-1002-episode-004,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1002,battleship,100,78,0,17,True,False,0.7347058823529412,5,15
initial-baselines-battleship-hunt_target-v1-seed-1003-episode-000,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1003,battleship,100,60,0,17,True,False,0.648235294117647,14,15
initial-baselines-battleship-hunt_target-v1-seed-1003-episode-001,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1003,battleship,100,68,0,17,True,False,0.6441176470588236,7,9
initial-baselines-battleship-hunt_target-v1-seed-1003-episode-002,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1003,battleship,100,86,0,17,True,False,0.5576470588235294,11,23
initial-baselines-battleship-hunt_target-v1-seed-1003-episode-003,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1003,battleship,100,73,0,17,True,False,0.7205882352941176,1,9
initial-baselines-battleship-hunt_target-v1-seed-1003-episode-004,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1003,battleship,100,54,0,17,True,False,0.658235294117647,15,18
initial-baselines-battleship-hunt_target-v1-seed-1004-episode-000,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1004,battleship,100,56,0,17,True,False,0.7247058823529412,2,5
initial-baselines-battleship-hunt_target-v1-seed-1004-episode-001,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1004,battleship,100,55,0,17,True,False,0.701764705882353,5,10
initial-baselines-battleship-hunt_target-v1-seed-1004-episode-002,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1004,battleship,100,82,0,17,True,False,0.6905882352941176,3,16
initial-baselines-battleship-hunt_target-v1-seed-1004-episode-003,initial-baselines-battleship-hunt_target-v1,hunt_target-v1,1004,battleship,100,52,0,17,True,False,0.7141176470588235,10,11
