episode_id,run_id,policy_id,seed,scenario,attacker_id,attacker_seed,placement_actions,valid_cells,valid_shots_to_sink,hit_segments,truncated,auc_discovery,first_hit_shot,first_sunk_shot,all_sunk_shot
placement-ppo-smoke-v0-eval-attacker-frozen-defensive-mixture-v1-seed-5201-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5201,battleship,frozen-defensive-mixture-v1,2073221760,2;288;146;307;292,100,95,17,False,0.0,,,95
placement-ppo-smoke-v0-eval-attacker-frozen-defensive-mixture-v1-seed-5202-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5202,battleship,frozen-defensive-mixture-v1,2146325395,2;288;146;307;292,100,88,17,False,0.0,,,88
placement-ppo-smoke-v0-eval-attacker-frozen-defensive-mixture-v1-seed-5203-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5203,battleship,frozen-defensive-mixture-v1,112038544,2;288;146;307;292,100,95,17,False,0.0,,,95
placement-ppo-smoke-v0-eval-attacker-frozen-defensive-mixture-v1-seed-5204-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5204,battleship,frozen-defensive-mixture-v1,2203044286,2;288;146;307;292,100,40,17,False,0.0,,,40
placement-ppo-smoke-v0-eval-attacker-frozen-defensive-mixture-v1-seed-5205-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5205,battleship,frozen-defensive-mixture-v1,1940829715,2;288;146;307;292,100,57,17,False,0.0,,,57
placement-ppo-smoke-v0-eval-attacker-hunt-target-v1-seed-5201-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5201,battleship,hunt-target-v1,2073221760,2;288;146;307;292,100,51,17,False,0.0,,,51
placement-ppo-smoke-v0-eval-attacker-hunt-target-v1-seed-5202-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5202,battleship,hunt-target-v1,2146325395,2;288;146;307;292,100,49,17,False,0.0,,,49
placement-ppo-smoke-v0-eval-attacker-hunt-target-v1-seed-5203-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5203,battleship,hunt-target-v1,112038544,2;288;146;307;292,100,72,17,False,0.0,,,72
placement-ppo-smoke-v0-eval-attacker-hunt-target-v1-seed-5204-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5204,battleship,hunt-target-v1,2203044286,2;288;146;307;292,100,42,17,False,0.0,,,42
placement-ppo-smoke-v0-eval-attacker-hunt-target-v1-seed-5205-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5205,battleship,hunt-target-v1,1940829715,2;288;146;307;292,100,38,17,False,0.0,,,38
placement-ppo-smoke-v0-eval-attacker-random-masked-v1-seed-5201-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5201,battleship,random-masked-v1,2073221760,2;288;146;307;292,100,97,17,False,0.0,,,97
placement-ppo-smoke-v0-eval-attacker-random-masked-v1-seed-5202-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5202,battleship,random-masked-v1,2146325395,2;288;146;307;292,100,94,17,False,0.0,,,94
placement-ppo-smoke-v0-eval-attacker-random-masked-v1-seed-5203-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5203,battleship,random-masked-v1,112038544,2;288;146;307;292,100,85,17,False,0.0,,,85
placement-ppo-smoke-v0-eval-attacker-random-masked-v1-seed-5204-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5204,battleship,random-masked-v1,2203044286,2;288;146;307;292,100,100,17,False,0.0,,,100
placement-ppo-smoke-v0-eval-attacker-random-masked-v1-seed-5205-episode-000,placement-ppo-smoke-v0-eval,maskable-ppo-placement-v1,5205,battleship,random-masked-v1,1940829715,2;288;146;307;292,100,99,17,False,0.0,,,99
