experiment,scenario,attacker_id,candidate_policy,reference_policy,metric,direction,seed_count,candidate_minus_reference_mean,lower_95,upper_95,bootstrap_resamples,conclusion
attack,battleship,,MaskablePPO (multi-seed),Hunt-target,valid_shots,lower,100,32.48,29.433950000000003,35.592,10000,reference_favored
attack,battleship,,MaskablePPO (multi-seed),Random masked,valid_shots,lower,100,-1.1399999999999997,-2.2599999999999993,0.044050000000000006,10000,inconclusive
attack,dense-118,,MaskablePPO (multi-seed),Hunt-target,valid_shots,lower,100,39.98,37.03790000000001,42.9981,10000,reference_favored
attack,dense-118,,MaskablePPO (multi-seed),Random masked,valid_shots,lower,100,-1.09,-2.1540500000000002,0.06004999999999967,10000,inconclusive
attack,periodic-table-battleship,,MaskablePPO (multi-seed),Hunt-target,valid_shots,lower,100,41.446000000000005,37.929950000000005,45.00999999999999,10000,reference_favored
attack,periodic-table-battleship,,MaskablePPO (multi-seed),Random masked,valid_shots,lower,100,-1.5239999999999998,-2.7760000000000002,-0.21995000000000045,10000,candidate_favored
placement,battleship,hunt-target-v1,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,-4.9479999999999995,-7.788,-2.1459999999999995,10000,reference_favored
placement,battleship,hunt-target-v1,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,-5.518,-8.4301,-2.654,10000,reference_favored
placement,battleship,hunt-target-v1,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,-3.3179999999999996,-6.162099999999998,-0.5819999999999996,10000,reference_favored
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,2.35,1.83,2.94,10000,candidate_favored
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,10.42,9.78,11.11,10000,candidate_favored
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,6.32,5.3,7.4,10000,candidate_favored
placement,battleship,random-masked-v1,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,0.6540000000000002,-0.41,1.7640500000000001,10000,inconclusive
placement,battleship,random-masked-v1,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,0.3340000000000002,-0.7019999999999993,1.4000500000000005,10000,inconclusive
placement,battleship,random-masked-v1,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,-0.6859999999999998,-1.7179999999999995,0.4480999999999984,10000,inconclusive
placement,battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,-2.0860000000000003,-7.0961,2.9499999999999993,10000,inconclusive
placement,battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,-0.8559999999999997,-5.378099999999998,3.7160499999999996,10000,inconclusive
placement,battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,-0.39599999999999996,-5.602149999999998,4.888149999999999,10000,inconclusive
placement,periodic-table-battleship,hunt-target-v1,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,-0.8680000000000004,-3.9300999999999995,2.206049999999999,10000,inconclusive
placement,periodic-table-battleship,hunt-target-v1,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,-4.827999999999999,-7.984100000000001,-1.6499500000000014,10000,reference_favored
placement,periodic-table-battleship,hunt-target-v1,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,2.6620000000000004,-0.696,5.986049999999997,10000,inconclusive
placement,periodic-table-battleship,maskable-ppo-v1:v03-attack-periodic-s3101:v0.3-fixed-suite-seed-3101-step-30000,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,5.66,5.0,6.33,10000,candidate_favored
placement,periodic-table-battleship,maskable-ppo-v1:v03-attack-periodic-s3101:v0.3-fixed-suite-seed-3101-step-30000,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,8.18,7.26,9.25,10000,candidate_favored
placement,periodic-table-battleship,maskable-ppo-v1:v03-attack-periodic-s3101:v0.3-fixed-suite-seed-3101-step-30000,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,6.7,5.51,8.03,10000,candidate_favored
placement,periodic-table-battleship,random-masked-v1,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,-0.9379999999999997,-2.102049999999999,0.2780499999999995,10000,inconclusive
placement,periodic-table-battleship,random-masked-v1,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,-0.6779999999999997,-1.8480999999999992,0.5360000000000003,10000,inconclusive
placement,periodic-table-battleship,random-masked-v1,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,-1.9679999999999997,-3.0499999999999994,-0.8400000000000002,10000,reference_favored
placement,periodic-table-battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),dispersion-placement-v1,valid_shots_to_sink,higher,100,0.14000000000000015,-5.626049999999999,5.984,10000,inconclusive
placement,periodic-table-battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,-0.42999999999999994,-6.096149999999998,5.348499999999994,10000,inconclusive
placement,periodic-table-battleship,v0.3-fixed-suite-random-hunt-frozen-ppo,MaskablePPO placement (multi-seed),random-legal-placement-v1,valid_shots_to_sink,higher,100,-1.64,-7.322199999999999,4.054399999999994,10000,inconclusive
