experiment,scenario,attacker_id,policy_id,metric,direction,seed_count,episode_count,mean,seed_standard_deviation,lower_95,upper_95,bootstrap_resamples
attack,battleship,,Hunt-target,valid_shots,lower,100,100,61.75,15.692354826475215,58.68,64.82,10000
attack,battleship,,MaskablePPO (multi-seed),valid_shots,lower,100,500,94.23000000000002,2.8622764126873323,93.66799999999999,94.76199999999999,10000
attack,battleship,,Random masked,valid_shots,lower,100,100,95.37,5.3041912149209365,94.29,96.36,10000
attack,dense-118,,Hunt-target,valid_shots,lower,100,100,71.62,15.378576203947038,68.6,74.64,10000
attack,dense-118,,MaskablePPO (multi-seed),valid_shots,lower,100,500,111.6,2.569282413673538,111.10794999999997,112.09405000000001,10000
attack,dense-118,,Random masked,valid_shots,lower,100,100,112.69,4.685449214689489,111.73,113.58,10000
attack,periodic-table-battleship,,Hunt-target,valid_shots,lower,100,100,69.33,18.307725917842124,65.8,72.95,10000
attack,periodic-table-battleship,,MaskablePPO (multi-seed),valid_shots,lower,100,500,110.77600000000001,2.4351433699729537,110.288,111.23800000000001,10000
attack,periodic-table-battleship,,Random masked,valid_shots,lower,100,100,112.3,6.373081014404384,111.02,113.53,10000
placement,battleship,hunt-target-v1,MaskablePPO placement (multi-seed),valid_shots_to_sink,higher,100,500,61.27199999999999,6.27159831737855,60.01195,62.5,10000
placement,battleship,hunt-target-v1,dispersion-placement-v1,valid_shots_to_sink,higher,100,100,66.22,12.37836170031553,63.81,68.61,10000
placement,battleship,hunt-target-v1,hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,100,66.79,12.638960927755624,64.35,69.31,10000
placement,battleship,hunt-target-v1,random-legal-placement-v1,valid_shots_to_sink,higher,100,100,64.59,13.636029962247557,62.0,67.22,10000
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,MaskablePPO placement (multi-seed),valid_shots_to_sink,higher,100,500,100.0,0.0,100.0,100.0,10000
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,dispersion-placement-v1,valid_shots_to_sink,higher,100,100,97.65,2.836896155656706,97.06,98.17,10000
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,hunt-target-resistant-placement-v1,valid_shots_to_sink,higher,100,100,89.58,3.402850854709025,88.89,90.2,10000
placement,battleship,maskable-ppo-v1:v03-attack-classic-s3103:v0.3-fixed-suite-seed-3103-step-20000,random-legal-placement-v1,valid_shots_to_sink,higher,100,100,93.68,5.452976205243289,92.6,94.71,10000
