algorithm,seed,expected_shots,regret_vs_oracle,visited_states
dynamic-programming-oracle,exact,4.5,0.0,0
q_learning,7101,6.532986111111111,2.0329861111111107,2349
q_learning,7102,5.987461419753086,1.4874614197530862,2348
q_learning,7103,6.156134259259259,1.6561342592592592,2347
q_learning,7104,6.262326388888889,1.762326388888889,2347
sarsa,7101,6.717013888888889,2.2170138888888893,2346
sarsa,7102,6.470138888888888,1.9701388888888882,2346
sarsa,7103,6.0210262345679,1.5210262345679002,2348
sarsa,7104,6.560763888888889,2.0607638888888893,2344
q_learning-mean,aggregate,6.234727044753086,1.7347270447530863,2348
sarsa-mean,aggregate,6.442235725308642,1.9422357253086417,2346
