topology,seed,ablation,architecture,hidden_dim,soft_target_weight,mean_valid_shots,mean_auc_discovery,validation_teacher_action_agreement,training_action_agreement,checkpoint,loss_last,seed_offset
battleship,15001,cnn-h16-s0.00,cnn,16,0.0,76.25,0.6904411764705882,0.055276382714509964,0.07555555552244186,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.00-s15001\student.pt,4.208312511444092,0
battleship,15001,cnn-h16-s0.50,cnn,16,0.5,73.75,0.6795588235294118,0.07035175710916519,0.07555555552244186,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.50-s15001\student.pt,2.6442384719848633,0
battleship,15001,gnn-h16-s0.00,gnn,16,0.0,55.25,0.7319117647058824,0.12060301750898361,0.06666667014360428,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.00-s15001\student.pt,4.223004460334778,0
battleship,15001,gnn-h16-s0.50,gnn,16,0.5,60.25,0.7275,0.08040200918912888,0.035555556416511536,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.50-s15001\student.pt,2.654487371444702,0
battleship,15002,cnn-h16-s0.00,cnn,16,0.0,66.25,0.6788235294117647,0.035175878554582596,0.035555556416511536,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.00-s15002\student.pt,4.197910189628601,1
battleship,15002,cnn-h16-s0.50,cnn,16,0.5,73.0,0.6939705882352941,0.07537688314914703,0.08888889104127884,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.50-s15002\student.pt,2.656221032142639,1
battleship,15002,gnn-h16-s0.00,gnn,16,0.0,94.0,0.45044117647058823,0.030150754377245903,0.03999999910593033,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.00-s15002\student.pt,4.210436463356018,1
battleship,15002,gnn-h16-s0.50,gnn,16,0.5,77.75,0.5976470588235294,0.035175878554582596,0.04888888821005821,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.50-s15002\student.pt,2.667103409767151,1
battleship,15003,cnn-h16-s0.00,cnn,16,0.0,72.5,0.6973529411764705,0.030150754377245903,0.031111111864447594,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.00-s15003\student.pt,4.188211560249329,2
battleship,15003,cnn-h16-s0.50,cnn,16,0.5,78.25,0.6648529411764705,0.02010050229728222,0.04444444552063942,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.50-s15003\student.pt,2.6378448605537415,2
battleship,15003,gnn-h16-s0.00,gnn,16,0.0,57.75,0.7102941176470589,0.09045226126909256,0.09333333373069763,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.00-s15003\student.pt,4.213949680328369,2
battleship,15003,gnn-h16-s0.50,gnn,16,0.5,71.5,0.7029411764705882,0.02010050229728222,0.017777778208255768,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.50-s15003\student.pt,2.661743998527527,2
battleship,15004,cnn-h16-s0.00,cnn,16,0.0,70.5,0.7160294117647059,0.08040200918912888,0.07999999821186066,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.00-s15004\student.pt,4.200936555862427,3
battleship,15004,cnn-h16-s0.50,cnn,16,0.5,73.5,0.6998529411764706,0.05025125667452812,0.06222222372889519,.local-runs\v0.9-bayesian-students\battleship-cnn-h16-s0.50-s15004\student.pt,2.639382541179657,3
battleship,15004,gnn-h16-s0.00,gnn,16,0.0,59.0,0.7313235294117647,0.07537688314914703,0.09333333373069763,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.00-s15004\student.pt,4.218614935874939,3
battleship,15004,gnn-h16-s0.50,gnn,16,0.5,61.75,0.7472058823529412,0.04522613063454628,0.057777777314186096,.local-runs\v0.9-bayesian-students\battleship-gnn-h16-s0.50-s15004\student.pt,2.6546512246131897,3
dense-118,15001,cnn-h16-s0.00,cnn,16,0.0,93.0,0.7128614157527418,0.04787234216928482,0.057692307978868484,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.00-s15001\student.pt,4.441326022148132,0
dense-118,15001,cnn-h16-s0.50,cnn,16,0.5,94.5,0.6844466600199401,0.04787234216928482,0.0625,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.50-s15001\student.pt,2.782315731048584,0
dense-118,15001,gnn-h16-s0.00,gnn,16,0.0,95.25,0.5953389830508474,0.021276595070958138,0.024038461968302727,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.00-s15001\student.pt,4.4532095193862915,0
dense-118,15001,gnn-h16-s0.50,gnn,16,0.5,95.25,0.6246261216350948,0.005319148767739534,0.009615384973585606,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.50-s15001\student.pt,2.7910924553871155,0
dense-118,15002,cnn-h16-s0.00,cnn,16,0.0,88.0,0.6041874376869392,0.021276595070958138,0.07692307978868484,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.00-s15002\student.pt,4.4227399826049805,1
dense-118,15002,cnn-h16-s0.50,cnn,16,0.5,86.25,0.681580259222333,0.0904255285859108,0.08653846383094788,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.50-s15002\student.pt,2.7606411576271057,1
dense-118,15002,gnn-h16-s0.00,gnn,16,0.0,107.5,0.5042372881355932,0.021276595070958138,0.05288461595773697,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.00-s15002\student.pt,4.444782376289368,1
dense-118,15002,gnn-h16-s0.50,gnn,16,0.5,86.0,0.6331006979062812,0.005319148767739534,0.0625,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.50-s15002\student.pt,2.7762574553489685,1
dense-118,15003,cnn-h16-s0.00,cnn,16,0.0,85.25,0.67759222333001,0.026595745235681534,0.04326923191547394,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.00-s15003\student.pt,4.438660144805908,2
dense-118,15003,cnn-h16-s0.50,cnn,16,0.5,87.25,0.6587736789631107,0.03191489353775978,0.03365384787321091,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.50-s15003\student.pt,2.7788878679275513,2
dense-118,15003,gnn-h16-s0.00,gnn,16,0.0,92.25,0.5849950149551346,0.01595744676887989,0.03365384787321091,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.00-s15003\student.pt,4.446909427642822,2
dense-118,15003,gnn-h16-s0.50,gnn,16,0.5,105.25,0.5796360917248256,0.005319148767739534,0.01923076994717121,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.50-s15003\student.pt,2.7889984846115112,2
dense-118,15004,cnn-h16-s0.00,cnn,16,0.0,81.25,0.7188434695912264,0.12234042584896088,0.057692307978868484,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.00-s15004\student.pt,4.416901588439941,3
dense-118,15004,cnn-h16-s0.50,cnn,16,0.5,79.0,0.7204636091724825,0.10638298094272614,0.07211538404226303,.local-runs\v0.9-bayesian-students\dense-118-cnn-h16-s0.50-s15004\student.pt,2.7734082341194153,3
dense-118,15004,gnn-h16-s0.00,gnn,16,0.0,80.0,0.6699900299102692,0.03191489353775978,0.09615384787321091,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.00-s15004\student.pt,4.428913116455078,3
dense-118,15004,gnn-h16-s0.50,gnn,16,0.5,79.0,0.6870638085742772,0.026595745235681534,0.07211538404226303,.local-runs\v0.9-bayesian-students\dense-118-gnn-h16-s0.50-s15004\student.pt,2.782866060733795,3
periodic-table-battleship,15001,cnn-h16-s0.00,cnn,16,0.0,93.25,0.6860667996011964,0.0223214291036129,0.07017543911933899,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.00-s15001\student.pt,4.453829646110535,0
periodic-table-battleship,15001,cnn-h16-s0.50,cnn,16,0.5,89.75,0.7109920239282154,0.01785714365541935,0.048245612531900406,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.50-s15001\student.pt,2.840593099594116,0
periodic-table-battleship,15001,gnn-h16-s0.00,gnn,16,0.0,65.5,0.722333000997009,0.0669642835855484,0.09210526198148727,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.00-s15001\student.pt,4.465286612510681,0
periodic-table-battleship,15001,gnn-h16-s0.50,gnn,16,0.5,73.25,0.6940428713858424,0.02678571455180645,0.035087719559669495,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.50-s15001\student.pt,2.8471792936325073,0
periodic-table-battleship,15002,cnn-h16-s0.00,cnn,16,0.0,93.0,0.7134845463609173,0.0401785708963871,0.07894736528396606,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.00-s15002\student.pt,4.442701458930969,1
periodic-table-battleship,15002,cnn-h16-s0.50,cnn,16,0.5,86.5,0.7323030907278165,0.0714285746216774,0.09649122506380081,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.50-s15002\student.pt,2.8299659490585327,1
periodic-table-battleship,15002,gnn-h16-s0.00,gnn,16,0.0,112.0,0.5022432701894317,0.0223214291036129,0.01315789483487606,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.00-s15002\student.pt,4.463471174240112,1
periodic-table-battleship,15002,gnn-h16-s0.50,gnn,16,0.5,105.25,0.5787637088733799,0.0223214291036129,0.008771929889917374,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.50-s15002\student.pt,2.8468610048294067,1
periodic-table-battleship,15003,cnn-h16-s0.00,cnn,16,0.0,95.75,0.6273678963110668,0.0357142873108387,0.04385964944958687,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.00-s15003\student.pt,4.450448989868164,2
periodic-table-battleship,15003,cnn-h16-s0.50,cnn,16,0.5,92.75,0.654037886340977,0.0491071417927742,0.061403509229421616,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.50-s15003\student.pt,2.821286916732788,2
periodic-table-battleship,15003,gnn-h16-s0.00,gnn,16,0.0,65.5,0.7102442671984048,0.0982142835855484,0.10964912176132202,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.00-s15003\student.pt,4.4729613065719604,2
periodic-table-battleship,15003,gnn-h16-s0.50,gnn,16,0.5,76.0,0.7030159521435693,0.0491071417927742,0.06578947603702545,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.50-s15003\student.pt,2.839520573616028,2
periodic-table-battleship,15004,cnn-h16-s0.00,cnn,16,0.0,71.0,0.7220837487537388,0.0669642835855484,0.07456140220165253,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.00-s15004\student.pt,4.440795302391052,3
periodic-table-battleship,15004,cnn-h16-s0.50,cnn,16,0.5,76.75,0.7114905284147557,0.09375,0.11403508484363556,.local-runs\v0.9-bayesian-students\periodic-table-battleship-cnn-h16-s0.50-s15004\student.pt,2.831153988838196,3
periodic-table-battleship,15004,gnn-h16-s0.00,gnn,16,0.0,73.25,0.6541625124626121,0.0892857164144516,0.08771929889917374,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.00-s15004\student.pt,4.463031649589539,3
periodic-table-battleship,15004,gnn-h16-s0.50,gnn,16,0.5,73.0,0.6900548354935194,0.03125,0.061403509229421616,.local-runs\v0.9-bayesian-students\periodic-table-battleship-gnn-h16-s0.50-s15004\student.pt,2.847179651260376,3
